Exhibit Id,firstName,lastName,companyName,booth,email,Exhibit Name,Device Number,phone,eventTag,expirationDate,startDate,endDate,mobile,tacticCode,industry,city,state,country,defaultDemo,defaultDurration,timeZoneOffset,visitorDisplay,visitorDisplayAddr,firstVisitMode,Error
20144424060712289348000518,Himanshu,Saraowgi,Cigniti,B-18,,ExhibitTest18,100802,112246,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EMAIL is required.
20144424060712289348000519,Himanshu,Saraowgi,Cigniti,B-19,himanshu@,ExhibitTest19,100803,112247,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EMAIL is not a valid e-mail address.
20144424060712289348000520,Himanshu,Saraowgi,Cigniti,B-20,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com,ExhibitTest20,100804,112248,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EMAIL must be 80 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@test.com]
20144424060712289348000524,,Saraowgi,Cigniti,B-24,himanshu@tester.com,ExhibitTest24,100808,112251,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,FIRSTNAME is required.
20144424060712289348000525,Himanshu,,Cigniti,B-25,himanshu@test.com,ExhibitTest25,100809,112252,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,LASTNAME is required.
20144424060712289348000526,shjfasjdgkjasbchjgfdhjqvwfsvxagsndcghcvda,Saraowgi,Cigniti,B-26,himanshu@tester.com,ExhibitTest26,100810,112253,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,FIRSTNAME must be 40 characters or fewer. Got [shjfasjdgkjasbchjgfdhjqvwfsvxagsndcghcvda]
20144424060712289348000527,Himanshu,shjfasjdgkjasbchjgfdhjqvwfsvxagsndcghcvda,Cigniti,B-27,himanshu@test.com,ExhibitTest27,100811,112254,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,0,1,1,LASTNAME must be 40 characters or fewer. Got [shjfasjdgkjasbchjgfdhjqvwfsvxagsndcghcvda]
20144424060712289348000528,Himanshu,Saraowgi,Cigniti,B-28,himanshu@tester.com,ExhibitTest28,100812,76876876876656758768768768768767687687687665675876876876876876,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,0,1,PHONE must be 30 characters or fewer. Got [7687687687665675876876876876876]
20144424060712289348000529,Himanshu,Saraowgi,Cigniti,B-29,himanshu@test.com,ExhibitTest29,100813,112261,AutoTest,11/25/2014,11/25/2014,11/25/2014,76876876876656758768768768768767687687687665675876876876876876,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,0,0,1,MOBILEPHONE must be 30 characters or fewer. Got [7687687687665675876876876876876]
20144424060712289348000530,Himanshu,Saraowgi,Cigniti,B-30,himanshu@tester.com,ExhibitTest30,100814,112262,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,ab765876675675256456421564v,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,TACTICCODE  must be 26 characters or fewer. Got [ab765876675675256456421564v]
201444240607122893480,Himanshu,Saraowgi,Cigniti,B-31,himanshu@test.com,ExhibitTest31,100815,112263,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EVENTID must be 26 characters. Got [201444240607122893480]
20144424060712289348000532,Himanshu,Saraowgi,Cigniti,B-32,himanshu@tester.com,ExhibitTest32,100816,112264,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Hyderabad,Andhra,India,20,10,2,1,1,1,TARGETINDUSTRY must be 40 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000533,Himanshu,Saraowgi,Cigniti,B-33,himanshu@test.com,ExhibitTest33,100817,112265,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Andhra,India,20,10,2,1,1,1,CITY must be 40 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000534,Himanshu,Saraowgi,Cigniti,B-34,himanshu@tester.com,ExhibitTest34,100818,112266,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,India,20,10,2,1,1,1,STATE must be 40 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000535,Himanshu,Saraowgi,Cigniti,B-35,himanshu@test.com,ExhibitTest35,100819,112267,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,20,10,2,1,1,1,COUNTRY must be 40 characters or fewer. Got [aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
20144424060712289348000536,Himanshu,Saraowgi,Cigniti,B-36,himanshu@tester.com,ExhibitTest36,100820,112268,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,as,10,2,1,1,1,DEFAULTDEMO must be a number. Got [as]
20144424060712289348000537,Himanshu,Saraowgi,Cigniti,B-37,himanshu@test.com,ExhibitTest37,100821,112269,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,ed,2,1,1,1,DEFAULTDURATION must be a number. Got [ed]
20144424060712289348000538,Himanshu,Saraowgi,Cigniti,B-38,himanshu@tester.com,ExhibitTest38,100822,112270,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,qa,1,1,1,TIMEZONEOFFSET must be a number. Got [qa]
20144424060712289348000539,Himanshu,Saraowgi,Cigniti,B-39,himanshu@test.com,ExhibitTest39,100823,112271,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,ON,1,1,"VISITORDISPLAY must be a number. \'1\' on, \'0\' off. Got [ON]"
20144424060712289348000540,Himanshu,Saraowgi,Cigniti,B-40,himanshu@tester.com,ExhibitTest40,100824,112272,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,OFF,1,"VISITORDISPLAYADDR must be a number. \'1\' on, \'0\' off. Got [OFF]"
20144424060712289348000541,Himanshu,Saraowgi,Cigniti,B-41,himanshu@test.com,ExhibitTest41,100825,112273,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,ON,"FIRSTVISITMODE must be a number. \'1\' on, \'0\' off. Got [ON]"
20144424060712289348000542,,Saraowgi,Cigniti,,himanshu@tester.com,ExhibitTest42,100826,112274,,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,EVENTTAG is required.FIRSTNAME is required.
20144424060712289348000543,Himanshu,Saraowgi,Cigniti,B-42,himanshu@test.com,ExhibitTest41,100900,112275,AutoTest,,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,
20144424060712289348000501,Himanshu,Saraowgi,Cigniti,B-1,himanshu@test.com,Test Exhibit1,100785,112276,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,
20144424060712289348000506,Himanshu,Saraowgi,Cigniti,B-6,himanshu@tester.com,ExhibitTest6,100790,112277,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,
20144424060712289348000509,Himanshu,Saraowgi,Cigniti,B-9,himanshu@test.com,ExhibitTest9,100793,112278,AutoTest,11/25/2014,,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,No Start Date
20144424060712289348000510,Himanshu,Saraowgi,Cigniti,B-10,himanshu@tester.com,ExhibitTest10,100794,112279,AutoTest,11/25/2018,11/25/2014,,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,No End Date
20144424060712289348000517,Himanshu,Saraowgi,Cigniti,B-17,himanshu@test.com,ExhibitTest17,100801,112280,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,
20145674328908700000000000,Himanshu,Saraowgi,Cigniti,B-10,himanshu@tester.com,ExhibitTest10,100794,112279,AutoTest,11/25/2018,11/25/2014,,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,No End Date
20145674328908700000000000,Himanshu,Saraowgi,Cigniti,B-17,himanshu@test.com,ExhibitTest17,100801,112280,AutoTest,11/25/2014,11/25/2014,11/25/2014,11223344,33221144,MyIndustry,Hyderabad,Andhra,India,20,10,2,1,1,1,
